;Entity;Meat, Total | tonnes;Duck | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Chicken | tonnes
4841;Hungary;1028379.0;90850.0;0.0;1800.0;30820.0;462060.0;440830.0
4900;Iceland;33005.0;0.0;0.0;9719.0;4826.0;6533.0;9908.0
4959;India;7950764.0;43930.0;0.0;826707.0;2539921.0;358224.0;4179963.0
5018;Indonesia;4886301.0;46564.0;0.0;142925.0;529591.0;236277.0;3928925.0
5077;Iran;2826344.0;2924.0;2632.0;252319.0;373863.0;0.0;2192587.0
5136;Iraq;245514.0;0.0;0.0;56970.0;38317.0;0.0;148208.0
5195;Ireland;1146219.0;0.0;0.0;66040.0;619800.0;304370.0;153990.0
5254;Israel;787097.0;2243.0;3133.0;13429.0;141138.0;13600.0;611535.0
5313;Italy;3659641.0;1890.0;25.0;34150.0;801097.0;1464490.0;1355970.0
5372;Jamaica;152564.0;0.0;0.0;773.0;7118.0;8355.0;134299.0
5431;Japan;4049946.0;0.0;0.0;226.0;470918.0;1278886.0;2297897.0
5490;Jordan;256759.0;111.0;3.0;27804.0;41981.0;0.0;184841.0
5518;Kazakhstan;975093.0;0.0;0.0;171361.0;501249.0;86353.0;214111.0
5577;Kenya;541104.0;0.0;0.0;106738.0;329187.0;14441.0;88719.0
5636;Kiribati;3984.0;0.0;0.0;0.0;0.0;1009.0;956.0
5695;Kuwait;119825.0;0.0;0.0;53713.0;2906.0;0.0;61187.0
5723;Kyrgyzstan;211792.0;0.0;0.0;74672.0;111463.0;14124.0;9514.0
5841;Laos;193083.0;4567.0;279.0;2559.0;57193.0;93109.0;33357.0
5869;Latvia;94949.0;0.0;0.0;1020.0;16370.0;40680.0;34860.0
5987;Lebanon;187235.0;0.0;0.0;8474.0;47886.0;769.0;128087.0
6046;Lesotho;6285.0;0.0;0.0;685.0;1392.0;652.0;1537.0
6105;Liberia;33896.0;368.0;0.0;2183.0;1168.0;13318.0;14840.0
6115;Libya;181369.0;0.0;0.0;43739.0;7019.0;0.0;128592.0
6143;Lithuania;224677.0;46.0;54.0;1160.0;44180.0;77660.0;99558.0
6261;Low-income countries;6461676.0;118267.0;12829.0;1871366.0;2520397.0;804192.0;1132606.0
6320;Lower-middle-income countries;49179119.0;613204.0;33785.0;4685369.0;12725774.0;8470854.0;22648114.0
6340;Luxembourg;25279.0;0.0;0.0;50.0;10250.0;12960.0;0.0
6399;Macao;11729.0;14.0;61.0;25.0;818.0;5474.0;3318.0
6458;Madagascar;156459.0;12431.0;12777.0;4731.0;37410.0;26672.0;60419.0
6517;Malawi;483330.0;0.0;0.0;50905.0;55158.0;270000.0;105248.0
6576;Malaysia;1928328.0;66212.0;0.0;4200.0;44025.0;222791.0;1589081.0
6635;Mali;128963.0;0.0;0.0;16077.0;54554.0;1009.0;55304.0
6694;Malta;11629.0;0.0;0.0;180.0;1030.0;4410.0;3990.0
6753;Mauritania;91679.0;0.0;0.0;55611.0;29441.0;0.0;4608.0
6812;Mauritius;55563.0;45.0;54.0;42.0;1798.0;601.0;51004.0
6871;Melanesia;151941.0;427.0;0.0;369.0;11838.0;94774.0;42514.0
6930;Mexico;7248631.0;21074.0;0.0;103968.0;2027634.0;1600446.0;3493490.0
7076;Moldova;119987.0;0.0;0.0;1881.0;7628.0;64943.0;43516.0
7135;Mongolia;375371.0;0.0;0.0;258075.0;114682.0;356.0;239.0
7149;Montenegro;15523.0;0.0;0.0;1352.0;5440.0;3000.0;3712.0
