;Entity;Code;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
2505;Cote d'Ivoire;CIV;2019;203385.0;807365.0;72789000.0;;271628.0;609349.0;316504;151990.0;;;;;16110.0;33559.0;11621.0;74097.0
2533;Croatia;HRV;2019;183200.0;47900.0;36908000.0;;1604800.0;464200.0;239861;;;;;;5840.0;45430.0;120800.0;67791.0
2592;Cuba;CUB;2019;475000.0;161080.0;18750000.0;;3945800.0;594383.0;363461;;;214.0;;;11984.0;80710.0;235153.0;35400.0
2651;Cyprus;CYP;2019;17250.0;115860.0;13326000.0;32000.0;583020.0;175110.0;81760;;0.0;;;;5430.0;5610.0;43350.0;26850.0
2678;Czechia;CZE;2019;244100.0;34180.0;119335000.0;138000.0;2402590.0;163810.0;467561;;;11.0;;;4020.0;74450.0;218610.0;170470.0
2720;Democratic Republic of Congo;COD;2019;109072.0;1603596.0;16517000.0;;577439.0;282966.0;242218;89081.0;;;;;19431.0;20390.0;26076.0;10406.0
2779;Denmark;DNK;2019;466900.0;0.0;104182000.0;;16862700.0;70900.0;1786224;;1500.0;206.0;;18.0;1600.0;125600.0;1500400.0;158418.0
2838;Djibouti;DJI;2019;55316.0;183857.0;;;;214224.0;11245;;;;696.0;;4532.0;6017.0;;
2897;Dominica;DMA;2019;3109.0;3417.0;364000.0;;7092.0;1793.0;1416;;;;;;66.0;560.0;426.0;364.0
2956;Dominican Republic;DOM;2019;498711.0;76627.0;208265000.0;;1124613.0;74368.0;500751;;;;;;1794.0;64300.0;79943.0;354714.0
3192;Ecuador;ECU;2019;1092186.0;9969.0;156259000.0;969000.0;2265688.0;348198.0;807081;;611.0;;;71.0;5227.0;228878.0;240768.0;322136.0
3251;Egypt;EGY;2019;1386000.0;489000.0;1243942000.0;1690000.0;31000.0;1041000.0;2439520;;55000.0;;11493.0;14000.0;54000.0;642000.0;771.0;1642789.0
3310;El Salvador;SLV;2019;111854.0;5632.0;119977000.0;;143457.0;2433.0;172494;;;;;;118.0;18468.0;7126.0;146782.0
3370;Estonia;EST;2019;36970.0;1090.0;;;558580.0;25250.0;75338;;0.0;;;;510.0;9250.0;45290.0;20288.0
3429;Eswatini;SWZ;2019;73228.0;93279.0;6056000.0;;27355.0;34470.0;26221;;;;;;2319.0;16478.0;1368.0;6056.0
3456;Ethiopia;ETH;2019;3764649.0;16782397.0;73095000.0;;41341.0;12790560.0;865454;89648.0;;;36152.0;;270508.0;408538.0;2131.0;58477.0
3515;Europe;;2019;39846190.0;8576162.0;11552469000.0;202308000.0;326094270.0;69111227.0;64344428;13595.0;505721.0;85430.0;143.0;15894.0;1233565.0;10590442.0;29741600.0;22060963.0
3751;Fiji;FJI;2019;22900.0;26227.0;12256000.0;68000.0;90677.0;6330.0;41855;;411.0;;;;277.0;2794.0;4080.0;34704.0
3810;Finland;FIN;2019;272380.0;770.0;78325000.0;852000.0;1816400.0;71750.0;397560;;0.0;260.0;;;1500.0;87760.0;168950.0;139090.0
3869;France;FRA;2019;4545970.0;681670.0;772443000.0;39333000.0;23538780.0;4182430.0;5425084;;219000.0;;;;87200.0;1428460.0;2200350.0;1659500.0
3928;French Polynesia;PYF;2019;801.0;4790.0;695000.0;;27370.0;202.0;1720;;32.0;;;;75.0;135.0;853.0;657.0
3987;Gabon;GAB;2019;7871.0;34010.0;4965000.0;;118581.0;67876.0;39554;27818.0;;;;;1155.0;989.0;3557.0;3972.0
4046;Gambia;GMB;2019;35271.0;83591.0;1649000.0;;13359.0;29000.0;9093;1399.0;;;;;1240.0;4233.0;572.0;1649.0
4074;Georgia;GEO;2019;306927.0;1122.0;13263000.0;;413727.0;221250.0;69478;;100.0;100.0;;;5917.0;22100.0;18300.0;22800.0
4133;Germany;DEU;2019;3403000.0;23000.0;620568000.0;34227000.0;55196000.0;1614000.0;7919216;;34000.0;1350.0;;2866.0;35000.0;1107000.0;5232000.0;1543866.0
4192;Ghana;GHA;2019;156818.0;1989481.0;97752000.0;;604645.0;1364818.0;292803;74575.0;;;;;51962.0;29705.0;25665.0;67956.0
4251;Greece;GRC;2019;144450.0;2367770.0;135550000.0;425000.0;1272810.0;5600070.0;443905;;50.0;;;;89950.0;34134.0;86200.0;230129.0
4310;Grenada;GRD;2019;867.0;2188.0;550000.0;;3624.0;4553.0;1188;;;;;;136.0;138.0;256.0;534.0
4369;Guatemala;GTM;2019;1125710.0;14614.0;140154000.0;;1283311.0;136816.0;524372;;;2444.0;;;2271.0;225142.0;64247.0;230268.0
4428;Guinea;GIN;2019;722063.0;1096414.0;8673000.0;;83733.0;881367.0;147569;6281.0;;;;;28072.0;99607.0;2417.0;11192.0
4487;Guinea-Bissau;GNB;2019;62667.0;124315.0;3591000.0;;345286.0;132627.0;26690;;;;;;2517.0;7167.0;13950.0;3056.0
4546;Guyana;GUY;2019;14892.0;27384.0;31747000.0;;14881.0;55899.0;43342;;;;;;833.0;2828.0;952.0;38729.0
4605;Haiti;HTI;2019;305907.0;316856.0;9615000.0;176000.0;531766.0;84448.0;105656;;198.0;5142.0;;39.0;6464.0;47804.0;31904.0;9155.0
4664;High-income countries;;2019;84062360.0;15235628.0;22152916000.0;477262000.0;464730881.0;118095578.0;120411980;309945.0;735069.0;117442.0;166505.0;22738.0;2546423.0;26618589.0;43195917.0;47280769.0
4723;Honduras;HND;2019;343178.0;10294.0;110416000.0;;162671.0;6560.0;288530;;;524.0;;;255.0;64876.0;10279.0;212596.0
4782;Hong Kong;HKG;2019;22156.0;7517.0;15350000.0;;1500000.0;13.0;158338;7860.0;482.0;;;;83.0;6632.0;120000.0;23763.0
4841;Hungary;HUN;2019;117670.0;17630.0;174269000.0;7054000.0;4853580.0;88100.0;1032210;;90850.0;;;;1800.0;30820.0;462060.0;531680.0
