Entity;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
Ethiopia;2019.0;3764649.0;16782397.0;73095000.0;;41341.0;12790560.0;865454.0;89648.0;;;36152.0;;270508.0;408538.0;2131.0;58477.0
Europe;2019.0;39846190.0;8576162.0;11552469000.0;202308000.0;326094270.0;69111227.0;64344428.0;13595.0;505721.0;85430.0;143.0;15894.0;1233565.0;10590442.0;29741600.0;22060963.0
Europe (FAO);2019.0;39828940.0;8460302.0;11550643000.0;203616000.0;325511250.0;68936117.0;64262668.0;13595.0;515995.0;104139.0;143.0;55977.0;1228135.0;10584832.0;29698250.0;22034113.0
European Union (27);2019.0;23820060.0;6036480.0;6411045000.0;186114000.0;247512510.0;37119050.0;44034623.0;;445706.0;26601.0;;3644.0;585040.0;6986286.0;22996180.0;13278338.0
European Union (27) (FAO);2019.0;23820060.0;6036480.0;6422545000.0;187454000.0;247512510.0;37119050.0;44034623.0;;455980.0;45310.0;;43727.0;585040.0;6986286.0;22996180.0;13278338.0
Fiji;2019.0;22900.0;26227.0;12256000.0;68000.0;90677.0;6330.0;41855.0;;411.0;;;;277.0;2794.0;4080.0;34704.0
Finland;2019.0;272380.0;770.0;78325000.0;852000.0;1816400.0;71750.0;397560.0;;0.0;260.0;;;1500.0;87760.0;168950.0;139090.0
France;2019.0;4545970.0;681670.0;772443000.0;39333000.0;23538780.0;4182430.0;5425084.0;;219000.0;;;;87200.0;1428460.0;2200350.0;1659500.0
French Polynesia;2019.0;801.0;4790.0;695000.0;;27370.0;202.0;1720.0;;32.0;;;;75.0;135.0;853.0;657.0
Gabon;2019.0;7871.0;34010.0;4965000.0;;118581.0;67876.0;39554.0;27818.0;;;;;1155.0;989.0;3557.0;3972.0
Gambia;2019.0;35271.0;83591.0;1649000.0;;13359.0;29000.0;9093.0;1399.0;;;;;1240.0;4233.0;572.0;1649.0
Georgia;2019.0;306927.0;1122.0;13263000.0;;413727.0;221250.0;69478.0;;100.0;100.0;;;5917.0;22100.0;18300.0;22800.0
Germany;2019.0;3403000.0;23000.0;620568000.0;34227000.0;55196000.0;1614000.0;7919216.0;;34000.0;1350.0;;2866.0;35000.0;1107000.0;5232000.0;1543866.0
Ghana;2019.0;156818.0;1989481.0;97752000.0;;604645.0;1364818.0;292803.0;74575.0;;;;;51962.0;29705.0;25665.0;67956.0
Greece;2019.0;144450.0;2367770.0;135550000.0;425000.0;1272810.0;5600070.0;443905.0;;50.0;;;;89950.0;34134.0;86200.0;230129.0
Grenada;2019.0;867.0;2188.0;550000.0;;3624.0;4553.0;1188.0;;;;;;136.0;138.0;256.0;534.0
Guatemala;2019.0;1125710.0;14614.0;140154000.0;;1283311.0;136816.0;524372.0;;;2444.0;;;2271.0;225142.0;64247.0;230268.0
Guinea;2019.0;722063.0;1096414.0;8673000.0;;83733.0;881367.0;147569.0;6281.0;;;;;28072.0;99607.0;2417.0;11192.0
Guinea-Bissau;2019.0;62667.0;124315.0;3591000.0;;345286.0;132627.0;26690.0;;;;;;2517.0;7167.0;13950.0;3056.0
Guyana;2019.0;14892.0;27384.0;31747000.0;;14881.0;55899.0;43342.0;;;;;;833.0;2828.0;952.0;38729.0
Haiti;2019.0;305907.0;316856.0;9615000.0;176000.0;531766.0;84448.0;105656.0;;198.0;5142.0;;39.0;6464.0;47804.0;31904.0;9155.0
High-income countries;2019.0;84062360.0;15235628.0;22152916000.0;477262000.0;464730881.0;118095578.0;120411980.0;309945.0;735069.0;117442.0;166505.0;22738.0;2546423.0;26618589.0;43195917.0;47280769.0
Honduras;2019.0;343178.0;10294.0;110416000.0;;162671.0;6560.0;288530.0;;;524.0;;;255.0;64876.0;10279.0;212596.0
Hong Kong;2019.0;22156.0;7517.0;15350000.0;;1500000.0;13.0;158338.0;7860.0;482.0;;;;83.0;6632.0;120000.0;23763.0
Hungary;2019.0;117670.0;17630.0;174269000.0;7054000.0;4853580.0;88100.0;1032210.0;;90850.0;;;;1800.0;30820.0;462060.0;531680.0
Iceland;2019.0;22728.0;;5809000.0;;79046.0;559596.0;35179.0;;;1085.0;;;9719.0;4826.0;6533.0;9908.0
India;2019.0;8889697.0;55026858.0;2738174000.0;;10234917.0;23014357.0;8139597.0;;43930.0;;;;826707.0;2539921.0;358224.0;4223893.0
Indonesia;2019.0;1683668.0;6966245.0;4916187000.0;;10945544.0;7558353.0;4886833.0;;46564.0;1848.0;;;142925.0;529591.0;236277.0;3975489.0
Iran;2019.0;820259.0;1599187.0;1779614000.0;2058000.0;;5867576.0;2835412.0;5263.0;2924.0;;5824.0;2632.0;252319.0;373863.0;;2198143.0
Iraq;2019.0;153878.0;590967.0;111662000.0;;;1893687.0;245185.0;;;;1690.0;;56970.0;38317.0;;148208.0
Ireland;2019.0;1852510.0;0.0;96247000.0;1299000.0;3457210.0;3050200.0;1147379.0;;;;;;66040.0;619800.0;304370.0;153990.0
Israel;2019.0;447434.0;319849.0;505458000.0;15984000.0;166000.0;441845.0;785165.0;;2243.0;;87.0;3133.0;13429.0;141138.0;13600.0;616911.0
Italy;2019.0;2729600.0;152940.0;569767000.0;28536000.0;11642620.0;2814860.0;3690036.0;;1890.0;5767.0;;25.0;34150.0;801097.0;1464490.0;1357885.0
Jamaica;2019.0;26566.0;41965.0;81492000.0;;121999.0;243.0;150586.0;;;41.0;;;773.0;7118.0;8355.0;134299.0
Japan;2019.0;1046484.0;2493.0;802588000.0;4000.0;16319598.0;6344.0;4054681.0;;;4102.0;;;226.0;470918.0;1278886.0;2297897.0
Jordan;2019.0;123032.0;423770.0;261120000.0;90000.0;;1847207.0;255429.0;;111.0;;666.0;3.0;27804.0;41981.0;;184955.0
Kazakhstan;2019.0;2857735.0;1076147.0;129514000.0;;1176218.0;7653554.0;1111988.0;;;131969.0;6839.0;;171361.0;501249.0;86353.0;214111.0
Kenya;2019.0;3080832.0;7346748.0;38551000.0;;413483.0;3955941.0;649070.0;29221.0;;;79890.0;;106738.0;329187.0;14441.0;88719.0
Kiribati;2019.0;;;1062000.0;;24877.0;;1965.0;;;;;;;;1009.0;956.0
Kuwait;2019.0;10322.0;41943.0;45486000.0;;;3069858.0;120725.0;;;;2919.0;;53713.0;2906.0;;61187.0
Kyrgyzstan;2019.0;611473.0;376643.0;5240000.0;;187567.0;2772507.0;234525.0;;;24605.0;;;74672.0;111463.0;14124.0;9514.0
Land Locked Developing Countries (FAO);2019.0;33050239.0;71636686.0;1225173000.0;598000.0;28651846.0;86847880.0;11121337.0;318663.0;96143.0;240034.0;79425.0;589.0;2196258.0;5356632.0;1033117.0;1805056.0
Laos;2019.0;283446.0;182742.0;41452000.0;;3351066.0;;191064.0;;4567.0;;;279.0;2559.0;57193.0;93109.0;38203.0
Latvia;2019.0;83650.0;3950.0;20616000.0;;496380.0;57880.0;93035.0;;;60.0;;;1020.0;16370.0;40680.0;34860.0
Least Developed Countries (FAO);2019.0;33105888.0;136054339.0;2836798000.0;3445000.0;45183008.0;70967802.0;13562129.0;419222.0;356478.0;18152.0;284619.0;19976.0;2414050.0;4506487.0;2258493.0;3462181.0
Lebanon;2019.0;230641.0;168461.0;64626000.0;;13985.0;173998.0;185216.0;;;;;;8474.0;47886.0;769.0;128087.0
Lesotho;2019.0;9280.0;27699.0;1921000.0;;13036.0;46050.0;9551.0;5285.0;;;;;685.0;1392.0;652.0;1537.0
Liberia;2019.0;9347.0;124208.0;17067000.0;;287506.0;91987.0;39673.0;7796.0;368.0;;;;2183.0;1168.0;13318.0;15208.0
Libya;2019.0;35754.0;836368.0;106524000.0;;;2088514.0;183946.0;;;;4596.0;;43739.0;7019.0;;128592.0
Lithuania;2019.0;170360.0;6500.0;54518000.0;356000.0;967360.0;81000.0;223186.0;;46.0;239.0;;54.0;1160.0;44180.0;77660.0;99658.0
Low Income Food Deficit Countries (FAO);2019.0;52186170.0;199507455.0;5355523000.0;3501000.0;82094808.0;121565224.0;26825018.0;777734.0;374619.0;52873.0;367138.0;12868.0;3790381.0;8674907.0;4726730.0;7792081.0
Low-income countries;2019.0;21432815.0;83137146.0;973120000.0;3292000.0;24239769.0;64989041.0;7368666.0;332075.0;118267.0;5199.0;258763.0;12829.0;1871366.0;2520397.0;804192.0;1263702.0
Lower-middle-income countries;2019.0;59204035.0;219710766.0;18745454000.0;36364000.0;136234689.0;150927289.0;51145398.0;1136093.0;613204.0;132447.0;155850.0;33785.0;4685369.0;12725774.0;8470854.0;23295103.0
Luxembourg;2019.0;28210.0;240.0;0.0;0.0;157950.0;2400.0;23291.0;;0.0;1.0;;;50.0;10250.0;12960.0;0.0
Macao;2019.0;2029.0;3200.0;3773000.0;;63039.0;;9710.0;;14.0;;;61.0;25.0;818.0;5474.0;3393.0
Madagascar;2019.0;299280.0;190050.0;63089000.0;3263000.0;381030.0;72770.0;162636.0;7474.0;12431.0;6.0;;12777.0;4731.0;37410.0;26672.0;85627.0
Malawi;2019.0;509748.0;6427795.0;41577000.0;;13582215.0;152286.0;481311.0;;;;;;50905.0;55158.0;270000.0;105248.0
Malaysia;2019.0;87179.0;62029.0;622459000.0;;2012398.0;40580.0;1926451.0;;66212.0;142.0;;;4200.0;44025.0;222791.0;1655293.0
Mali;2019.0;472113.0;801390.0;72257000.0;;20225.0;463614.0;158277.0;24553.0;;2945.0;296.0;;16077.0;54554.0;1009.0;55304.0
Malta;2019.0;3700.0;1420.0;2338000.0;0.0;51580.0;6290.0;9670.0;;0.0;;;;180.0;1030.0;4410.0;3990.0
Mauritania;2019.0;232124.0;1253967.0;6058000.0;;0.0;2385637.0;118628.0;;;568.0;25824.0;;55611.0;29441.0;0.0;4608.0
Mauritius;2019.0;7303.0;1550.0;48417000.0;1000.0;8865.0;1002.0;54194.0;625.0;45.0;;;54.0;42.0;1798.0;601.0;51103.0
Melanesia;2019.0;74011.0;30335.0;21096000.0;84000.0;2231071.0;9328.0;563563.0;413566.0;427.0;75.0;;;369.0;11838.0;94774.0;42941.0
Mexico;2019.0;8243901.0;2194600.0;1914917000.0;2930000.0;19649546.0;3115253.0;7328186.0;;21074.0;77115.0;;;103968.0;2027634.0;1600446.0;3514564.0
Micronesia (FAO);1990.0;;;305000.0;;18300.0;;971.0;;;;;;;;712.0;259.0
Middle Africa (FAO);2019.0;6014770.0;16650500.0;205410000.0;3000.0;4476253.0;12135108.0;1942448.0;269470.0;38.0;1228.0;7003.0;;411043.0;766052.0;228508.0;169234.0
Moldova;2019.0;48805.0;;36748000.0;62000.0;905032.0;103800.0;118825.0;;;36.0;;;1881.0;7628.0;64943.0;43516.0
Mongolia;2019.0;943746.0;6671021.0;187000.0;;6492.0;9653315.0;456710.0;;;70812.0;12546.0;;258075.0;114682.0;356.0;239.0
Montenegro;2019.0;26624.0;7621.0;2995000.0;;27683.0;32352.0;13504.0;;;;;;1352.0;5440.0;3000.0;3712.0
Morocco;2019.0;1301409.0;2319372.0;654354000.0;11559000.0;12568.0;12399206.0;1409107.0;50957.0;;2264.0;3600.0;;210888.0;283002.0;626.0;841562.0
Mozambique;2019.0;105206.0;132836.0;39370000.0;;1202215.0;76516.0;220788.0;;3453.0;;;;2384.0;14866.0;91584.0;111541.0
Myanmar;2019.0;1789272.0;6454217.0;1209393000.0;3000.0;12542244.0;1170713.0;3355294.0;;178832.0;;;6881.0;135348.0;483211.0;1092708.0;1644027.0
Namibia;2019.0;128787.0;299931.0;13478000.0;;119826.0;509848.0;72162.0;6916.0;;;;;11482.0;31277.0;6590.0;15897.0
Nepal;2019.0;585263.0;6253619.0;83627000.0;;756651.0;300631.0;406829.0;;352.0;;;;76677.0;238322.0;28579.0;63251.0
Net Food Importing Developing Countries (FAO);2019.0;54137780.0;198814213.0;8316822000.0;29064000.0;56815840.0;122707714.0;29121440.0;721193.0;416773.0;92559.0;400341.0;34033.0;3970492.0;9118959.0;2945647.0;11468899.0
Netherlands;2019.0;2123270.0;173500.0;622624000.0;0.0;16583820.0;566470.0;3104744.0;;;;;;15530.0;424300.0;1628290.0;1036360.0
New Caledonia;2019.0;15627.0;186.0;467000.0;;32126.0;800.0;6648.0;;;;;;16.0;3214.0;2791.0;627.0
New Zealand;2019.0;4404231.0;169361.0;124620000.0;251000.0;624284.0;22228133.0;1447658.0;23293.0;650.0;0.0;;129.0;450915.0;683923.0;44129.0;240088.0
Nicaragua;2019.0;834942.0;2276.0;64134000.0;;259427.0;2035.0;304267.0;;;2286.0;;;60.0;148488.0;13925.0;139508.0
Niger;2019.0;196885.0;1288969.0;24612000.0;;33739.0;618307.0;180141.0;29282.0;;874.0;10725.0;;49462.0;57460.0;1518.0;19689.0
Nigeria;2019.0;3163520.0;27514250.0;240030000.0;;6676718.0;19108879.0;1461010.0;170430.0;;;;;422196.0;327901.0;300453.0;240030.0
North America;2019.0;50605842.0;3526494.0;13069467000.0;250654000.0;180869775.0;7186426.0;63795589.0;264755.0;94343.0;129224.0;;1013.0;224984.0;16600361.0;16890367.0;29673377.0
North Korea;2019.0;138905.0;918510.0;27419000.0;;2351895.0;68075.0;363737.0;;13543.0;;;;14803.0;20836.0;117595.0;43704.0
North Macedonia;2019.0;20000.0;;1959000.0;;149000.0;156000.0;22349.0;;;;;;3392.0;4083.0;13384.0;1490.0
Northern Africa (FAO);2019.0;7184460.0;19653879.0;2385172000.0;30782000.0;48815.0;50988020.0;6172611.0;51482.0;55000.0;3151.0;173631.0;14000.0;1105784.0;1516656.0;1631.0;3199832.0
Northern America (FAO);2019.0;37865500.0;675200.0;10111938000.0;247472000.0;151831300.0;3134500.0;53247823.0;264755.0;73057.0;41458.0;;974.0;96397.0;13742580.0;14716074.0;24383942.0
Northern Europe (FAO);2019.0;6480109.0;41422.0;1651584000.0;15927000.0;39556001.0;20298665.0;8740287.0;11438.0;30107.0;8912.0;;2752.0;419285.0;2050034.0;3474615.0;2768805.0
Norway;2019.0;306075.0;27722.0;68936000.0;823000.0;1625295.0;1208744.0;359072.0;6694.0;661.0;31.0;;;24628.0;87008.0;132242.0;106833.0
Oceania;2019.0;13189229.0;1663965.0;801303000.0;5781000.0;8355503.0;54053663.0;6840428.0;436859.0;17648.0;24571.0;;129.0;1203601.0;3048670.0;560116.0;1561301.0
Oceania (FAO);2019.0;13189229.0;1663965.0;801303000.0;5781000.0;8355503.0;54053663.0;6840428.0;436859.0;17648.0;24571.0;;129.0;1203601.0;3048670.0;560116.0;1561301.0
Oman;2019.0;115635.0;698710.0;8127000.0;;;1039155.0;86080.0;;;;16037.0;;48508.0;15033.0;;6502.0
Pakistan;2019.0;8728000.0;41915000.0;1278000000.0;;;14810000.0;4505871.0;;5122.0;;6070.0;;732000.0;2221000.0;;1523122.0
Panama;2019.0;331349.0;;133532000.0;;539750.0;;343738.0;;;;;;;74176.0;39940.0;229622.0
Papua New Guinea;2019.0;20744.0;667.0;7313000.0;16000.0;1977966.0;2198.0;505328.0;413566.0;16.0;45.0;;;43.0;3112.0;81942.0;6620.0
Paraguay;2019.0;1997314.0;86077.0;74105000.0;191000.0;581578.0;115044.0;620908.0;;1917.0;1129.0;;310.0;2508.0;481693.0;58672.0;76906.0
Peru;2019.0;1357067.0;411263.0;786550000.0;;3284606.0;2682837.0;2209967.0;8195.0;;;;;38883.0;192920.0;173259.0;1762856.0
Philippines;2019.0;881212.0;3266631.0;1199326000.0;409000.0;27167256.0;8973.0;3368247.0;;22578.0;663.0;;384.0;33715.0;200643.0;1607656.0;1508910.0
Poland;2019.0;1854880.0;1290.0;1147406000.0;39664000.0;21443710.0;67340.0;5130369.0;;61880.0;8700.0;;;1150.0;560500.0;1988840.0;2567679.0
Polynesia;2019.0;5158.0;6694.0;1565000.0;;122589.0;202.0;6921.0;;32.0;;;;103.0;867.0;4600.0;1351.0
Portugal;2019.0;369260.0;175320.0;204042000.0;3585000.0;5891850.0;1372910.0;848320.0;;10510.0;;;;17920.0;92030.0;387920.0;350250.0
Romania;2019.0;428250.0;637330.0;296382000.0;;4409470.0;5125740.0;1040134.0;;0.0;;;;54910.0;73730.0;398730.0;507106.0
Russia;2019.0;7877284.0;1065192.0;2557284000.0;;43328496.0;11297289.0;10866307.0;;;46032.0;143.0;;216754.0;1625163.0;3936829.0;4606359.0
Rwanda;2019.0;392558.0;600098.0;6355000.0;;389570.0;114767.0;109506.0;15101.0;;;;;21963.0;34575.0;14698.0;19064.0
